,Winery,Average Temperature (Kelvin),Average Air Pressure (hPa),Average Humidity (%),Average Daily Precipitation (mm)
129,Lapostolle winery Chile,293.3375,999.1825,58.760000000000005,0.1
130,Carmen winery Chile,294.26750000000004,1004.5550000000001,47.05500000000001,0.0
131,Tommasi winery Italy,275.7675,1016.0975000000001,83.08749999999999,0.11
132,Vinoce winery US,281.7425,1019.1525000000001,70.48750000000001,0.125
133,Merriam winery US,281.03249999999997,1018.5,79.155,0.0775
134,Kynsi winery US,280.2,1020.225,66.68,0.0125
135,Valdivieso winery Chile,292.86749999999995,996.51,48.405,0.0
136,San Pedro winery Chile,292.86749999999995,996.51,48.405,0.0
137,Undurraga winery Chile,294.26750000000004,1004.5550000000001,47.05500000000001,0.0
138,Vino V winery US,285.08,1018.895,58.4075,0.01
139,Morro Bay winery US,282.145,1019.67,71.3375,0.0475
140,Red Newt Cellars winery US,269.9725,1015.9375,78.4025,0.10500000000000001
141,Guardian winery US,276.45750000000004,1019.7875000000001,82.41,0.1625
142,Lieb winery US,272.74749999999995,1016.8375,70.14250000000001,0.14
143,Milbrandt winery US,269.095,1001.7425,80.53,0.065
144,Ojai winery US,285.115,1018.925,58.19,0.0075
145,Pomum winery US,276.45750000000004,1019.7875000000001,82.41,0.1625
146,Walla Walla Vintners winery US,269.33000000000004,1020.9850000000001,79.41250000000001,0.035
147,Flying Cloud winery US,280.2,1020.225,66.68,0.0125
148,Majolini winery Italy,276.8175,1010.5775000000001,80.47,0.16999999999999998
149,Patrick Javillier winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
150,Rusack winery US,285.08,1018.895,58.4075,0.01
151,Chehalem winery US,276.21999999999997,1020.7575,76.705,0.14
152,Henri de Villamont winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
153,Wittmann winery Germany,276.91,1018.3774999999999,87.415,0.13
154,Deutz winery France,278.11,1018.305,89.99,0.08
155,Domaine Serene winery US,276.12249999999995,1019.4575,78.35749999999999,0.105
156,Dr. Loosen winery Germany,275.71,1014.9425,92.215,0.135
157,Bell winery US,280.7575,1020.3425,73.895,0.10250000000000001
158,Babcock winery US,285.08,1018.895,58.4075,0.01
159,Lyeth winery US,281.03249999999997,1018.5,79.155,0.0775
160,Knapp winery US,269.9725,1015.9375,78.4025,0.10500000000000001
161,Lava Cap winery US,280.0375,1020.4000000000001,73.5425,0.07
162,Michael Pozzan winery US,281.03249999999997,1018.5,79.155,0.0775
163,Domaine du Grand Cros winery France,281.9275,1019.2825,79.215,0.052500000000000005
164,El Coto winery Spain,277.83250000000004,1016.2874999999999,81.91,0.0475
165,Hanna winery US,281.03249999999997,1018.5,79.155,0.0775
166,Camaraderie winery US,276.80249999999995,1018.28,84.1975,0.1475
167,Conn Creek winery US,281.03249999999997,1018.5,79.155,0.0775
168,D.R. Stephens winery US,281.03249999999997,1018.5,79.155,0.0775
169,Davis Family winery US,276.885,1020.4425,71.7725,0.19
170,Domaine Jeannin-Naltet winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
171,Rex Hill winery US,276.21999999999997,1020.7575,76.705,0.14
172,Ruby winery US,276.21999999999997,1020.7575,76.705,0.14
173,Structure winery US,276.4775,1019.8925,81.3675,0.16999999999999998
174,Tumwater winery US,276.21999999999997,1020.7575,76.705,0.14
175,Joseph Jewell winery US,281.03249999999997,1018.5,79.155,0.0775
176,Le Vigne winery US,279.685,1018.23,73.42,0.025
177,Maximin Grünhäuser winery Germany,275.71,1014.9425,92.215,0.135
178,Padis winery US,281.7425,1019.1525000000001,70.48750000000001,0.125
179,Paul O'Brien winery US,276.025,1019.8875,85.45249999999999,0.057499999999999996
180,Flying Goat Cellars winery US,285.08,1018.895,58.4075,0.01
181,Midsummer Cellars winery US,281.03249999999997,1018.5,79.155,0.0775
182,Lutum winery US,285.08,1018.895,58.4075,0.01
183,Iron Horse winery US,281.03249999999997,1018.5,79.155,0.0775
184,Artesa winery US,281.7425,1019.1525000000001,70.48750000000001,0.125
185,Château Vignelaure winery France,280.17249999999996,1016.2225,76.175,0.027500000000000004
186,Mas de Cadenet winery France,280.17249999999996,1016.2225,76.175,0.027500000000000004
187,Passing Time winery US,276.45750000000004,1019.7875000000001,82.41,0.1625
188,Sanctuary winery US,276.885,1020.4425,71.7725,0.19
189,Limerick Lane winery US,276.885,1020.4425,71.7725,0.19
190,Loring Wine Company winery US,285.08,1018.895,58.4075,0.01
191,Four Lanterns winery US,282.145,1019.67,71.3375,0.0475
192,World's End winery US,276.885,1020.4425,71.7725,0.19
193,W.H. Smith winery US,281.03249999999997,1018.5,79.155,0.0775
194,Alleromb winery US,269.33000000000004,1020.9850000000001,79.41250000000001,0.035
195,Château de Campuget winery France,280.28499999999997,1020.3425000000001,73.03,0.0275
196,Chateau Lafayette Reneau winery US,269.9725,1015.9375,78.4025,0.10500000000000001
197,Cupcake winery US,278.65999999999997,1019.55,77.17750000000001,0.16999999999999998
198,Seven Falls winery US,276.885,1020.4425,71.7725,0.19
199,Silvertip winery US,281.61,1019.8625000000001,72.6125,0.0825
200,Stevens winery US,276.45750000000004,1019.7875000000001,82.41,0.1625
201,Strauss winery Austria,272.28499999999997,1017.4375,86.8775,0.027500000000000004
202,Trinity River winery US,281.03249999999997,1018.5,79.155,0.0775
203,Vintage Cowboy winery US,280.2,1020.225,66.68,0.0125
204,Landhaus Mayer winery Austria,274.24749999999995,1016.4425,79.965,0.295
205,L'Ecole No. 41 winery US,269.33000000000004,1020.9850000000001,79.41250000000001,0.035
206,Malat winery Austria,274.24749999999995,1016.4425,79.965,0.295
207,Monte Xanic winery Mexico,282.1675,993.52,61.7325,0.03
208,Paoletti winery US,281.03249999999997,1018.5,79.155,0.0775
209,Rodney Strong winery US,276.885,1020.4425,71.7725,0.19
210,Saintsbury winery US,281.7425,1019.1525000000001,70.48750000000001,0.125
211,B Cellars winery US,281.03249999999997,1018.5,79.155,0.0775
212,Barlow winery US,281.03249999999997,1018.5,79.155,0.0775
213,Borgo Maragliano winery Italy,280.695,1017.8799999999999,70.5025,0.1475
214,Walt winery US,281.7425,1019.1525000000001,70.48750000000001,0.125
215,WillaKenzie Estate winery US,276.21999999999997,1020.7575,76.705,0.14
216,Jean-Marc Bernhard winery France,275.945,1014.6075,86.3125,0.1975
217,Domaines Schlumberger winery France,275.945,1014.6075,86.3125,0.1975
218,Foxen winery US,285.08,1018.895,58.4075,0.01
219,Melhill winery US,273.4275,1015.5100000000001,74.47,0.05
220,Niner winery US,282.145,1019.67,71.3375,0.0475
221,Purple Hands winery US,276.12249999999995,1019.4575,78.35749999999999,0.105
222,Reichsgraf von Kesselstatt winery Germany,275.71,1014.9425,92.215,0.135
223,Kuentz-Bas winery France,275.945,1014.6075,86.3125,0.1975
224,Plantagenet winery Australia,297.0025,1011.905,49.605000000000004,0.022500000000000003
225,Sipp Mack winery France,275.945,1014.6075,86.3125,0.1975
226,Stoller winery US,276.12249999999995,1019.4575,78.35749999999999,0.105
227,Vine Cliff winery US,281.03249999999997,1018.5,79.155,0.0775
228,Va Piano winery US,269.33000000000004,1020.9850000000001,79.41250000000001,0.035
229,Y Rousseau winery US,281.7425,1019.1525000000001,70.48750000000001,0.125
230,Paradise Ridge winery US,281.03249999999997,1018.5,79.155,0.0775
231,Poet's Leap winery US,276.45750000000004,1019.7875000000001,82.41,0.1625
232,Raphael winery US,272.74749999999995,1016.8375,70.14250000000001,0.14
233,Snoqualmie winery US,269.095,1001.7425,80.53,0.065
234,The Withers Winery winery US,276.885,1020.4425,71.7725,0.19
235,Truchard winery US,281.7425,1019.1525000000001,70.48750000000001,0.125
236,Acacia winery US,281.7425,1019.1525000000001,70.48750000000001,0.125
237,Array winery US,276.885,1020.4425,71.7725,0.19
238,Baracchi Riccardo winery Italy,278.1275,1015.0025,83.47749999999999,0.12250000000000001
239,Barrister winery US,269.33000000000004,1020.9850000000001,79.41250000000001,0.035
240,Bunnell winery US,276.45750000000004,1019.7875000000001,82.41,0.1625
241,Chateau Ste. Michelle winery US,276.45750000000004,1019.7875000000001,82.41,0.1625
242,Cobb winery US,281.03249999999997,1018.5,79.155,0.0775
243,Cooper-Garrod winery US,281.63,1019.21,73.97,0.0875
244,Mosquito Fleet winery US,276.345,1019.4475,87.015,0.16
245,Reyneke winery South Africa,294.2625,1013.0525,70.8775,0.265
246,Saint Clair winery New Zealand,290.48,1011.495,78.5125,0.145
247,Château d'Esclans winery France,276.885,1020.4425,71.7725,0.19
248,Château Riotor winery France,280.28499999999997,1020.3425000000001,73.03,0.0275
249,Château Sainte Marguerite winery France,281.9275,1019.2825,79.215,0.052500000000000005
250,Cloudy Bay winery New Zealand,290.48,1011.495,78.5125,0.145
251,Domaine de la Bastide Blanche winery France,281.9275,1019.2825,79.215,0.052500000000000005
252,Domaine Sainte-Marie winery France,281.9275,1019.2825,79.215,0.052500000000000005
253,Dry River winery New Zealand,290.4125,1011.1350000000001,77.995,0.1225
254,Dutton Estate winery US,281.03249999999997,1018.5,79.155,0.0775
255,Failla winery US,281.03249999999997,1018.5,79.155,0.0775
256,Friedeman winery US,281.03249999999997,1018.5,79.155,0.0775
257,Akarua winery New Zealand,287.5425,996.5475,75.0575,0.085
258,Carrick winery New Zealand,287.5425,996.5475,75.0575,0.085
259,JCB winery France,279.46000000000004,1019.4825000000001,73.85,0.235
260,Cave de Viré winery France,276.885,1020.4425,71.7725,0.19
261,Cortes de Cima winery Portugal,280.74,1016.465,82.07,0.07750000000000001
262,Domaine Bousquet winery Argentina,296.04,971.94,46.01,0.0125
263,Quinta de Paços winery Portugal,284.04,1021.5799999999999,85.51750000000001,0.085
264,Jack's House winery US,278.65999999999997,1019.55,77.17750000000001,0.16999999999999998
265,Kiwi Cuvée winery France,276.885,1020.4425,71.7725,0.19
266,Domaine Michel Goubard winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
267,Domaine Poulleau Père et Fils winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
268,Wines & Winemakers winery Portugal,282.955,1020.3900000000001,88.155,0.115
269,Paul Reitz winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
270,William Knuttel winery US,281.7425,1019.1525000000001,70.48750000000001,0.125
271,Cave de Beblenheim winery France,275.945,1014.6075,86.3125,0.1975
272,De Loach winery US,281.03249999999997,1018.5,79.155,0.0775
273,Center of Effort winery US,280.2,1020.225,66.68,0.0125
274,Lane Tanner winery US,276.885,1020.4425,71.7725,0.19
275,MacRostie winery US,281.03249999999997,1018.5,79.155,0.0775
276,Monte De Oro winery US,282.9925,1018.1800000000001,59.332499999999996,0.03
277,Mounts winery US,281.03249999999997,1018.5,79.155,0.0775
278,Pax winery US,281.03249999999997,1018.5,79.155,0.0775
279,McWilliam's Hanwood Estate winery Australia,297.2875,1005.5074999999999,50.6075,0.022500000000000003
280,G. H. Mumm winery France,278.11,1018.305,89.99,0.08
281,Jean Milan winery France,278.11,1018.305,89.99,0.08
282,Patton Valley winery US,276.21999999999997,1020.7575,76.705,0.14
283,Pierre Gimonnet et Fils winery France,278.11,1018.305,89.99,0.08
284,Adelsheim winery US,276.21999999999997,1020.7575,76.705,0.14
285,Ferrari winery Italy,271.93,990.155,75.185,0.1275
286,St. Supéry winery US,281.03249999999997,1018.5,79.155,0.0775
287,Viña Cobos winery Argentina,296.04,971.94,46.01,0.0125
288,Von Schleinitz winery Germany,276.97999999999996,1013.9099999999999,91.55499999999999,0.135
289,Barnard Griffin winery US,269.095,1001.7425,80.53,0.065
290,Beacon Hill winery US,276.21999999999997,1020.7575,76.705,0.14
291,Chessman winery US,272.40999999999997,1017.0550000000001,77.96249999999999,0.1125
292,Deerfield Ranch winery US,281.03249999999997,1018.5,79.155,0.0775
293,Efeste winery US,276.45750000000004,1019.7875000000001,82.41,0.1625
294,Firesteed winery US,276.12249999999995,1019.4575,78.35749999999999,0.105
295,Iron Hub winery US,280.0375,1020.4000000000001,73.5425,0.07
296,Kooyong winery Australia,292.1175,1013.375,71.52499999999999,0.07500000000000001
297,Aiken winery US,281.7425,1019.1525000000001,70.48750000000001,0.125
298,Donkey & Goat winery US,282.10749999999996,1020.7375000000001,71.1625,0.11
299,Finn Hill winery US,276.45750000000004,1019.7875000000001,82.41,0.1625
300,La Playa winery Chile,293.3375,999.1825,58.760000000000005,0.1
301,Stomping Ground winery US,282.145,1019.67,71.3375,0.0475
302,Terrapura winery Chile,292.0625,963.1875,54.1,0.0425
303,Domaine de Thulon winery France,277.3075,1019.2425,81.31,0.0925
304,Kontos winery US,269.33000000000004,1020.9850000000001,79.41250000000001,0.035
305,Laurent Gauthier winery France,277.3075,1019.2425,81.31,0.0925
306,Leaping Horse winery US,280.2075,1019.7475,75.9525,0.245
307,Domaine Bott-Geyl winery France,275.945,1014.6075,86.3125,0.1975
308,Domaine Collotte winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
309,Domaine Faiveley winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
310,Domaine Jacques Prieur winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
311,Domaine René Bouvier winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
312,Dr. H. Thanisch (Erben Thanisch) winery Germany,275.71,1014.9425,92.215,0.135
313,Edna Valley Vineyard winery US,280.2,1020.225,66.68,0.0125
314,Fess Parker winery US,285.08,1018.895,58.4075,0.01
315,West of Temperance winery US,281.03249999999997,1018.5,79.155,0.0775
316,Beresford winery Australia,295.3925,1012.0350000000001,53.527499999999996,0.022500000000000003
317,Carabella winery US,276.21999999999997,1020.7575,76.705,0.14
318,Greenwood Ridge winery US,281.03249999999997,1018.5,79.155,0.0775
319,Herencia winery US,280.7575,1020.3425,73.895,0.10250000000000001
320,Cline winery US,281.7425,1019.1525000000001,70.48750000000001,0.125
321,Fuse winery US,280.7575,1020.3425,73.895,0.10250000000000001
322,Leonesse Cellars winery US,282.9925,1018.1800000000001,59.332499999999996,0.03
323,Market Vineyards winery US,269.095,1001.7425,80.53,0.065
324,Bex winery Germany,272.25250000000005,1020.925,75.6575,0.08000000000000002
325,Fullerton winery US,276.21999999999997,1020.7575,76.705,0.14
326,Coelho winery US,276.12249999999995,1019.4575,78.35749999999999,0.105
327,Evans & Tate winery Australia,297.0025,1011.905,49.605000000000004,0.022500000000000003
328,Finca Sophenia winery Argentina,296.04,971.94,46.01,0.0125
329,Sidewood winery Australia,295.3925,1012.0350000000001,53.527499999999996,0.022500000000000003
330,Ektimo Vineyards winery US,281.03249999999997,1018.5,79.155,0.0775
331,Francis Coppola winery US,281.03249999999997,1018.5,79.155,0.0775
332,Amalie Robert winery US,276.12249999999995,1019.4575,78.35749999999999,0.105
333,Carica winery US,282.0375,1019.6025,73.3925,0.1125
334,Ignacio Marín winery Spain,278.59,1019.935,80.1375,0.0375
335,Santa Ema winery Chile,276.885,1020.4425,71.7725,0.19
336,One Hope winery US,276.885,1020.4425,71.7725,0.19
337,Alexander Valley Vineyards winery US,281.03249999999997,1018.5,79.155,0.0775
338,Feudo Montoni winery Italy,285.8925,1021.18,72.9875,0.0375
339,Château Lamothe-Vincent winery France,280.26,1023.8899999999999,86.18249999999999,0.17
340,Yvon Mau winery France,280.26,1023.8899999999999,86.18249999999999,0.17
341,Bellenda winery Italy,276.375,1019.23,83.245,0.1325
342,Pascual Toso winery Argentina,296.04,971.94,46.01,0.0125
343,Fournier Père et Fils winery France,278.405,1019.5975,90.47500000000001,0.0625
344,Caruso & Minini winery Italy,285.8925,1021.18,72.9875,0.0375
345,Arcane Cellars winery US,276.12249999999995,1019.4575,78.35749999999999,0.105
346,Benton-Lane winery US,276.025,1019.8875,85.45249999999999,0.057499999999999996
347,Domaine Philippe Portier winery France,278.405,1019.5975,90.47500000000001,0.0625
348,Tarapaca winery Chile,294.7725,1008.12,66.31,0.0
349,The Four Graces winery US,276.21999999999997,1020.7575,76.705,0.14
350,Dragonette winery US,285.08,1018.895,58.4075,0.01
351,Grgich Hills winery US,276.885,1020.4425,71.7725,0.19
352,Ventana winery US,282.145,1019.67,71.3375,0.0475
353,Honeywood Winery winery US,276.12249999999995,1019.4575,78.35749999999999,0.105
354,Irony winery US,276.885,1020.4425,71.7725,0.19
355,Little Black Dress winery US,276.885,1020.4425,71.7725,0.19
356,Bridgeway winery US,276.885,1020.4425,71.7725,0.19
357,Sea Slopes winery US,276.885,1020.4425,71.7725,0.19
358,Trisaetum winery US,276.21999999999997,1020.7575,76.705,0.14
359,Bergström winery US,276.12249999999995,1019.4575,78.35749999999999,0.105
360,Shafer winery US,276.885,1020.4425,71.7725,0.19
361,Alphonse Mellot winery France,278.405,1019.5975,90.47500000000001,0.0625
362,Big Table Farm winery US,276.12249999999995,1019.4575,78.35749999999999,0.105
363,Horsepower winery US,269.33000000000004,1020.9850000000001,79.41250000000001,0.035
364,Williams Selyem winery US,281.03249999999997,1018.5,79.155,0.0775
365,Cayuse winery US,269.33000000000004,1020.9850000000001,79.41250000000001,0.035
366,Dion winery US,276.21999999999997,1020.7575,76.705,0.14
367,Domaine Bernard Fleuriet et Fils winery France,278.405,1019.5975,90.47500000000001,0.0625
368,Drouhin Oregon Roserock winery US,276.12249999999995,1019.4575,78.35749999999999,0.105
369,Rutherford Ranch winery US,281.03249999999997,1018.5,79.155,0.0775
370,Weixelbaum winery Austria,274.24749999999995,1016.4425,79.965,0.295
371,Landmark winery US,281.03249999999997,1018.5,79.155,0.0775
372,Mercer winery US,269.095,1001.7425,80.53,0.065
373,Michel Gassier winery France,280.28499999999997,1020.3425000000001,73.03,0.0275
374,Three Brothers winery US,271.15500000000003,1015.9375,78.5625,0.095
375,Belden Barns winery US,281.03249999999997,1018.5,79.155,0.0775
376,In Re winery US,278.52750000000003,1020.1275,76.5975,0.2175
377,Chasing Venus winery New Zealand,276.885,1020.4425,71.7725,0.19
378,Concha y Toro winery Chile,294.7325,1004.1975,46.83,0.0
379,Madrigal winery US,281.03249999999997,1018.5,79.155,0.0775
380,Millbrook winery US,271.985,1015.9549999999999,70.4275,0.14
381,Santa Rita winery Chile,294.26750000000004,1004.5550000000001,47.05500000000001,0.0
382,Scotto Family Cellars winery US,280.23,1020.2149999999999,75.69,0.055
383,Ghost Pines winery US,278.52250000000004,1020.2625,76.66,0.2225
384,Wellington winery US,276.885,1020.4425,71.7725,0.19
385,Trapiche winery Argentina,296.04,971.94,46.01,0.0125
386,Louis Guntrum winery Germany,276.745,1016.5625,85.615,0.12000000000000001
387,Pali winery US,285.08,1018.895,58.4075,0.01
388,Robert Stemmler winery US,281.7425,1019.1525000000001,70.48750000000001,0.125
