,country,points,variety,winery,winery_search
172,Chile,91,Cabernet Sauvignon,G7,G7 winery Chile
173,US,91,Pinot Noir,Le Cadeau,Le Cadeau winery US
174,New Zealand,88,Sauvignon Blanc,Stoneleigh,Stoneleigh winery New Zealand
178,US,88,Syrah,Kenwood,Kenwood winery US
179,France,88,Chardonnay,La Chablisienne,La Chablisienne winery France
180,US,88,Chardonnay,Manzoni,Manzoni winery US
181,US,88,Pinot Noir,McIntyre Vineyards,McIntyre Vineyards winery US
184,US,88,Chardonnay,Anaba,Anaba winery US
186,US,88,Pinot Noir,Harrington,Harrington winery US
188,Chile,88,Merlot,Viña Bisquertt,Viña Bisquertt winery Chile
189,Chile,87,Chardonnay,Emiliana,Emiliana winery Chile
191,Australia,87,Cabernet Sauvignon,Henry's Drive Vignerons,Henry's Drive Vignerons winery Australia
193,France,87,Chardonnay,Bertrand Ambroise,Bertrand Ambroise winery France
198,US,90,Cabernet Sauvignon,Sequum,Sequum winery US
202,Israel,90,Syrah,Yatir,Yatir winery Israel
205,US,90,Chardonnay,J. Lohr,J. Lohr winery US
206,US,90,Cabernet Sauvignon,Courtney Benham,Courtney Benham winery US
210,South Africa,90,Chardonnay,Eikendal,Eikendal winery South Africa
220,US,90,Chardonnay,Sixteen by Twenty,Sixteen by Twenty winery US
225,South Africa,90,Chardonnay,Oldenburg,Oldenburg winery South Africa
227,US,85,Pinot Noir,Wagner,Wagner winery US
228,US,85,Riesling,Treleaven,Treleaven winery US
233,US,85,Pinot Noir,Silvan Ridge,Silvan Ridge winery US
235,US,85,Syrah,Testarossa,Testarossa winery US
236,US,85,Cabernet Sauvignon,Meeker,Meeker winery US
239,US,85,Cabernet Sauvignon,Dogwood,Dogwood winery US
242,US,85,Chardonnay,Hayman & Hill,Hayman & Hill winery US
243,US,85,Chardonnay,Hermann J. Wiemer,Hermann J. Wiemer winery US
245,Argentina,85,Chardonnay,Finca Las Moras,Finca Las Moras winery Argentina
246,Australia,85,Sauvignon Blanc,Long Flat,Long Flat winery Australia
247,US,85,Merlot,Work,Work winery US
248,US,85,Pinot Noir,Amity,Amity winery US
250,US,85,Cabernet Sauvignon,Blue Rock,Blue Rock winery US
251,US,85,Pinot Noir,Cherry Hill,Cherry Hill winery US
255,US,89,Pinot Noir,Esterlina,Esterlina winery US
258,South Africa,89,Cabernet Sauvignon,Hartenberg,Hartenberg winery South Africa
260,US,89,Pinot Noir,Willamette Valley Vineyards,Willamette Valley Vineyards winery US
263,US,89,Pinot Noir,Byron,Byron winery US
264,South Africa,89,Syrah,Jardin,Jardin winery South Africa
265,South Africa,89,Chardonnay,Jardin,Jardin winery South Africa
275,Argentina,89,Cabernet Sauvignon,Sottano,Sottano winery Argentina
277,US,89,Cabernet Sauvignon,Trailhead,Trailhead winery US
278,US,89,Pinot Noir,Erath,Erath winery US
281,US,92,Pinot Noir,Cambria,Cambria winery US
283,US,92,Pinot Noir,J. Christopher,J. Christopher winery US
285,Austria,92,Riesling,Salomon-Undhof,Salomon-Undhof winery Austria
286,US,92,Pinot Noir,Talley,Talley winery US
289,US,92,Cabernet Sauvignon,Parallel,Parallel winery US
296,Chile,87,Cabernet Sauvignon,Ventisquero,Ventisquero winery Chile
297,US,87,Cabernet Sauvignon,Aquinas,Aquinas winery US
298,Chile,87,Cabernet Sauvignon,Arboleda,Arboleda winery Chile
301,US,87,Chardonnay,Buried Cane,Buried Cane winery US
306,Romania,87,Chardonnay,Cramele Recas,Cramele Recas winery Romania
307,France,87,Pinot Noir,Domaine Bertagna,Domaine Bertagna winery France
311,New Zealand,87,Syrah,Otto's Constant Dream,Otto's Constant Dream winery New Zealand
312,US,87,Cabernet Sauvignon,Mount Veeder,Mount Veeder winery US
314,US,87,Cabernet Sauvignon,Robert Mondavi,Robert Mondavi winery US
318,Chile,86,Merlot,Aresti,Aresti winery Chile
323,Chile,86,Cabernet Sauvignon,J. & F. Lurton,J. & F. Lurton winery Chile
327,Chile,86,Chardonnay,De Martino,De Martino winery Chile
336,Chile,83,Pinot Noir,Koyle,Koyle winery Chile
337,France,83,Rosé,Château Notre Dame du Quatourze,Château Notre Dame du Quatourze winery France
338,France,82,Rosé,Mémoires,Mémoires winery France
343,Chile,81,Pinot Noir,Pura 8,Pura 8 winery Chile
344,Chile,80,Chardonnay,Viña Tarapacá,Viña Tarapacá winery Chile
347,Germany,97,Riesling,Robert Weil,Robert Weil winery Germany
352,US,96,Chardonnay,Rochioli,Rochioli winery US
353,France,96,Chardonnay,Louis Latour,Louis Latour winery France
354,Germany,96,Riesling,Robert Weil,Robert Weil winery Germany
355,US,96,Chardonnay,Rochioli,Rochioli winery US
357,France,95,Pinot Noir,Château de la Tour,Château de la Tour winery France
358,Germany,95,Riesling,Weingut Hans Bausch,Weingut Hans Bausch winery Germany
359,France,95,Chardonnay,Philippe Colin,Philippe Colin winery France
362,US,95,Cabernet Sauvignon,J. Davies,J. Davies winery US
363,France,95,Chardonnay,Louis Latour,Louis Latour winery France
364,US,95,Pinot Noir,Winderlea,Winderlea winery US
369,Italy,88,Chardonnay,Ronco del Gelso,Ronco del Gelso winery Italy
370,US,88,Cabernet Sauvignon,Sebastiani,Sebastiani winery US
371,Italy,88,Sauvignon Blanc,Elena Walch,Elena Walch winery Italy
373,Italy,88,Sauvignon Blanc,Borgo Conventi,Borgo Conventi winery Italy
374,US,88,Sauvignon Blanc,Ceago Vinegarden,Ceago Vinegarden winery US
380,Chile,88,Merlot,Lapostolle,Lapostolle winery Chile
382,Chile,88,Cabernet Sauvignon,Carmen,Carmen winery Chile
383,Italy,88,Chardonnay,Tommasi,Tommasi winery Italy
385,US,88,Sauvignon Blanc,Vinoce,Vinoce winery US
386,US,88,Merlot,Merriam,Merriam winery US
387,US,88,Sauvignon Blanc,Murphy-Goode,Murphy-Goode winery US
388,US,88,Pinot Noir,Kynsi,Kynsi winery US
390,Chile,88,Cabernet Sauvignon,Casa Julia,Casa Julia winery Chile
391,Chile,88,Chardonnay,Valdivieso,Valdivieso winery Chile
392,US,87,Sauvignon Blanc,Bridlewood,Bridlewood winery US
393,Chile,87,Chardonnay,San Pedro,San Pedro winery Chile
394,Chile,87,Merlot,Undurraga,Undurraga winery Chile
397,Chile,85,Pinot Noir,Cono Sur,Cono Sur winery Chile
398,Chile,85,Sauvignon Blanc,Aresti,Aresti winery Chile
402,Chile,85,Syrah,Viña Bisquertt,Viña Bisquertt winery Chile
404,US,85,Syrah,Vino V,Vino V winery US
407,Chile,85,Chardonnay,Lapostolle,Lapostolle winery Chile
411,US,85,Cabernet Sauvignon,Morro Bay,Morro Bay winery US
415,US,85,Riesling,Red Newt Cellars,Red Newt Cellars winery US
421,US,89,Merlot,Guardian,Guardian winery US
425,US,89,Rosé,Lieb,Lieb winery US
429,US,89,Syrah,Milbrandt,Milbrandt winery US
430,US,89,Sauvignon Blanc,Ojai,Ojai winery US
432,US,89,Riesling,Pomum,Pomum winery US
440,US,89,Cabernet Sauvignon,Walla Walla Vintners,Walla Walla Vintners winery US
446,US,88,Cabernet Sauvignon,Flying Cloud,Flying Cloud winery US
449,Italy,92,Chardonnay,Majolini,Majolini winery Italy
452,France,92,Chardonnay,Patrick Javillier,Patrick Javillier winery France
455,US,92,Chardonnay,Robert Mondavi,Robert Mondavi winery US
457,US,92,Pinot Noir,Rusack,Rusack winery US
460,US,92,Pinot Noir,Chehalem,Chehalem winery US
462,France,92,Chardonnay,Henri de Villamont,Henri de Villamont winery France
464,Germany,92,Riesling,Wittmann,Wittmann winery Germany
466,France,92,Chardonnay,Deutz,Deutz winery France
467,US,92,Pinot Noir,Domaine Serene,Domaine Serene winery US
468,Germany,92,Riesling,Dr. Loosen,Dr. Loosen winery Germany
469,Germany,92,Riesling,Dr. Loosen,Dr. Loosen winery Germany
471,France,92,Pinot Noir,Henri de Villamont,Henri de Villamont winery France
472,France,92,Pinot Noir,Henri de Villamont,Henri de Villamont winery France
475,US,92,Cabernet Sauvignon,Bell,Bell winery US
482,US,87,Pinot Noir,Babcock,Babcock winery US
486,US,87,Cabernet Sauvignon,Lyeth,Lyeth winery US
494,US,87,Chardonnay,Knapp,Knapp winery US
495,US,87,Chardonnay,Lava Cap,Lava Cap winery US
498,US,87,Pinot Noir,Michael Pozzan,Michael Pozzan winery US
499,France,87,Rosé,Domaine du Grand Cros,Domaine du Grand Cros winery France
500,Spain,87,Rosé,El Coto,El Coto winery Spain
503,US,87,Sauvignon Blanc,Hanna,Hanna winery US
507,US,87,Syrah,Camaraderie,Camaraderie winery US
510,US,91,Chardonnay,Big Basin,Big Basin winery US
513,US,91,Cabernet Sauvignon,Conn Creek,Conn Creek winery US
514,Chile,91,Merlot,Cono Sur,Cono Sur winery Chile
515,US,91,Pinot Noir,D.R. Stephens,D.R. Stephens winery US
516,US,91,Pinot Noir,Davis Family,Davis Family winery US
517,US,91,Pinot Noir,Davis Family,Davis Family winery US
518,France,91,Pinot Noir,Domaine Jeannin-Naltet,Domaine Jeannin-Naltet winery France
522,US,91,Pinot Noir,Rex Hill,Rex Hill winery US
523,US,91,Pinot Noir,Ruby,Ruby winery US
524,US,91,Syrah,Structure,Structure winery US
525,US,91,Chardonnay,Testarossa,Testarossa winery US
526,US,91,Pinot Noir,Tumwater,Tumwater winery US
529,US,91,Pinot Noir,Joseph Jewell,Joseph Jewell winery US
530,Chile,91,Syrah,Lapostolle,Lapostolle winery Chile
532,US,91,Pinot Noir,Le Cadeau,Le Cadeau winery US
533,US,91,Pinot Noir,Le Cadeau,Le Cadeau winery US
534,US,91,Cabernet Sauvignon,Le Vigne,Le Vigne winery US
535,Germany,91,Riesling,Maximin Grünhäuser,Maximin Grünhäuser winery Germany
537,US,91,Cabernet Sauvignon,Padis,Padis winery US
538,US,91,Pinot Noir,Paul O'Brien,Paul O'Brien winery US
539,US,93,Pinot Noir,Claiborne & Churchill,Claiborne & Churchill winery US
540,US,93,Pinot Noir,Flying Goat Cellars,Flying Goat Cellars winery US
541,US,93,Pinot Noir,Flying Goat Cellars,Flying Goat Cellars winery US
543,US,93,Cabernet Sauvignon,Midsummer Cellars,Midsummer Cellars winery US
545,US,93,Cabernet Sauvignon,Les Belles Collines,Les Belles Collines winery US
546,US,93,Chardonnay,Lutum,Lutum winery US
548,US,93,Pinot Noir,Iron Horse,Iron Horse winery US
550,US,93,Chardonnay,Artesa,Artesa winery US
552,France,93,Rosé,Château Vignelaure,Château Vignelaure winery France
554,France,93,Rosé,Mas de Cadenet,Mas de Cadenet winery France
555,US,93,Cabernet Sauvignon,Passing Time,Passing Time winery US
557,US,93,Pinot Noir,Sanctuary,Sanctuary winery US
560,US,93,Syrah,Limerick Lane,Limerick Lane winery US
561,US,93,Pinot Noir,Loring Wine Company,Loring Wine Company winery US
563,US,93,Pinot Noir,Flying Goat Cellars,Flying Goat Cellars winery US
564,US,93,Syrah,Four Lanterns,Four Lanterns winery US
566,US,93,Cabernet Sauvignon,World's End,World's End winery US
568,US,93,Cabernet Sauvignon,W.H. Smith,W.H. Smith winery US
569,US,89,Chardonnay,Alleromb,Alleromb winery US
570,US,89,Syrah,Ardor,Ardor winery US
574,France,89,Rosé,Château de Campuget,Château de Campuget winery France
577,US,89,Rosé,Chateau Lafayette Reneau,Chateau Lafayette Reneau winery US
579,US,89,Rosé,Cupcake,Cupcake winery US
582,US,89,Merlot,Seven Falls,Seven Falls winery US
583,US,89,Pinot Noir,Silvertip,Silvertip winery US
585,US,89,Chardonnay,Stevens,Stevens winery US
587,Austria,89,Sauvignon Blanc,Strauss,Strauss winery Austria
588,US,89,Chardonnay,Trinity River,Trinity River winery US
590,US,89,Chardonnay,Vintage Cowboy,Vintage Cowboy winery US
593,Austria,89,Riesling,Landhaus Mayer,Landhaus Mayer winery Austria
595,US,89,Cabernet Sauvignon,L'Ecole No. 41,L'Ecole No. 41 winery US
597,Austria,89,Riesling,Malat,Malat winery Austria
599,US,87,Cabernet Sauvignon,Michael Pozzan,Michael Pozzan winery US
601,Mexico,87,Sauvignon Blanc,Monte Xanic,Monte Xanic winery Mexico
602,US,87,Cabernet Sauvignon,Paoletti,Paoletti winery US
610,US,87,Sauvignon Blanc,Rodney Strong,Rodney Strong winery US
611,US,87,Pinot Noir,Saintsbury,Saintsbury winery US
616,US,87,Chardonnay,B Cellars,B Cellars winery US
618,US,87,Merlot,Barlow,Barlow winery US
619,Italy,87,Chardonnay,Borgo Maragliano,Borgo Maragliano winery Italy
621,US,87,Pinot Noir,Claiborne & Churchill,Claiborne & Churchill winery US
629,US,92,Pinot Noir,Walt,Walt winery US
630,US,92,Pinot Noir,WillaKenzie Estate,WillaKenzie Estate winery US
632,France,92,Riesling,Jean-Marc Bernhard,Jean-Marc Bernhard winery France
638,France,92,Riesling,Domaines Schlumberger,Domaines Schlumberger winery France
640,US,92,Chardonnay,Foxen,Foxen winery US
643,US,92,Chardonnay,Melhill,Melhill winery US
644,US,92,Cabernet Sauvignon,Niner,Niner winery US
645,US,92,Pinot Noir,Purple Hands,Purple Hands winery US
648,Germany,92,Riesling,Reichsgraf von Kesselstatt,Reichsgraf von Kesselstatt winery Germany
649,US,92,Cabernet Sauvignon,Stone The Crows,Stone The Crows winery US
651,France,92,Riesling,Kuentz-Bas,Kuentz-Bas winery France
652,Australia,92,Riesling,Plantagenet,Plantagenet winery Australia
654,France,92,Riesling,Sipp Mack,Sipp Mack winery France
656,US,92,Pinot Noir,Stoller,Stoller winery US
658,US,90,Chardonnay,Vine Cliff,Vine Cliff winery US
659,US,90,Cabernet Sauvignon,Va Piano,Va Piano winery US
660,US,90,Cabernet Sauvignon,Y Rousseau,Y Rousseau winery US
663,US,90,Cabernet Sauvignon,Paradise Ridge,Paradise Ridge winery US
666,US,90,Riesling,Poet's Leap,Poet's Leap winery US
668,US,90,Riesling,Raphael,Raphael winery US
670,US,90,Cabernet Sauvignon,Snoqualmie,Snoqualmie winery US
672,US,90,Riesling,The Grapes of Roth,The Grapes of Roth winery US
673,US,90,Pinot Noir,The Withers Winery,The Withers Winery winery US
674,US,90,Cabernet Sauvignon,Truchard,Truchard winery US
675,US,90,Pinot Noir,Acacia,Acacia winery US
676,US,90,Chardonnay,Array,Array winery US
677,Italy,90,Syrah,Baracchi Riccardo,Baracchi Riccardo winery Italy
678,Italy,90,Syrah,Baracchi Riccardo,Baracchi Riccardo winery Italy
679,US,90,Cabernet Sauvignon,Barrister,Barrister winery US
681,US,90,Syrah,Bunnell,Bunnell winery US
684,US,90,Cabernet Sauvignon,Chateau Ste. Michelle,Chateau Ste. Michelle winery US
685,US,90,Pinot Noir,Cobb,Cobb winery US
687,US,90,Chardonnay,Cooper-Garrod,Cooper-Garrod winery US
688,US,91,Cabernet Sauvignon,Mosquito Fleet,Mosquito Fleet winery US
694,South Africa,91,Sauvignon Blanc,Reyneke,Reyneke winery South Africa
696,New Zealand,91,Sauvignon Blanc,Saint Clair,Saint Clair winery New Zealand
701,France,91,Rosé,Château d'Esclans,Château d'Esclans winery France
702,France,91,Rosé,Château Riotor,Château Riotor winery France
703,France,91,Rosé,Château Sainte Marguerite,Château Sainte Marguerite winery France
704,France,91,Rosé,Château Vignelaure,Château Vignelaure winery France
705,New Zealand,91,Sauvignon Blanc,Cloudy Bay,Cloudy Bay winery New Zealand
706,France,91,Rosé,Domaine de la Bastide Blanche,Domaine de la Bastide Blanche winery France
707,France,91,Rosé,Domaine du Grand Cros,Domaine du Grand Cros winery France
708,France,91,Rosé,Domaine Sainte-Marie,Domaine Sainte-Marie winery France
710,New Zealand,91,Pinot Noir,Dry River,Dry River winery New Zealand
711,US,91,Sauvignon Blanc,Dutton Estate,Dutton Estate winery US
712,US,91,Pinot Noir,Failla,Failla winery US
713,US,91,Pinot Noir,Friedeman,Friedeman winery US
714,New Zealand,91,Pinot Noir,Akarua,Akarua winery New Zealand
716,New Zealand,91,Pinot Noir,Carrick,Carrick winery New Zealand
717,France,91,Rosé,JCB,JCB winery France
719,France,85,Chardonnay,Cave de Viré,Cave de Viré winery France
720,Portugal,85,Rosé,Cortes de Cima,Cortes de Cima winery Portugal
721,Argentina,85,Cabernet Sauvignon,Domaine Bousquet,Domaine Bousquet winery Argentina
726,Portugal,85,Rosé,Quinta de Paços,Quinta de Paços winery Portugal
727,US,85,Pinot Noir,Rascal,Rascal winery US
730,US,85,Cabernet Sauvignon,Jack's House,Jack's House winery US
731,France,85,Chardonnay,Kiwi Cuvée,Kiwi Cuvée winery France
732,France,85,Pinot Noir,Domaine Michel Goubard,Domaine Michel Goubard winery France
733,France,85,Pinot Noir,Domaine Poulleau Père et Fils,Domaine Poulleau Père et Fils winery France
737,Portugal,85,Rosé,Wines & Winemakers,Wines & Winemakers winery Portugal
742,France,85,Chardonnay,Paul Reitz,Paul Reitz winery France
747,US,87,Pinot Noir,William Knuttel,William Knuttel winery US
749,France,87,Riesling,Cave de Beblenheim,Cave de Beblenheim winery France
750,US,87,Pinot Noir,De Loach,De Loach winery US
751,Chile,87,Sauvignon Blanc,De Martino,De Martino winery Chile
753,US,87,Chardonnay,Center of Effort,Center of Effort winery US
757,US,87,Pinot Noir,Lane Tanner,Lane Tanner winery US
758,US,87,Pinot Noir,MacRostie,MacRostie winery US
759,US,87,Syrah,Monte De Oro,Monte De Oro winery US
760,US,87,Syrah,Mounts,Mounts winery US
764,US,87,Syrah,Pax,Pax winery US
766,Australia,87,Pinot Noir,42°S,42°S winery Australia
768,Australia,87,Cabernet Sauvignon,McWilliam's Hanwood Estate,McWilliam's Hanwood Estate winery Australia
770,France,92,Chardonnay,G. H. Mumm,G. H. Mumm winery France
772,France,92,Chardonnay,Jean Milan,Jean Milan winery France
774,US,92,Pinot Noir,Patton Valley,Patton Valley winery US
775,US,92,Pinot Noir,Patton Valley,Patton Valley winery US
776,France,92,Chardonnay,Pierre Gimonnet et Fils,Pierre Gimonnet et Fils winery France
778,US,92,Pinot Noir,Adelsheim,Adelsheim winery US
781,Italy,92,Chardonnay,Ferrari,Ferrari winery Italy
787,US,90,Cabernet Sauvignon,St. Supéry,St. Supéry winery US
788,Argentina,90,Chardonnay,Viña Cobos,Viña Cobos winery Argentina
789,Germany,90,Riesling,Von Schleinitz,Von Schleinitz winery Germany
790,US,90,Cabernet Sauvignon,Barnard Griffin,Barnard Griffin winery US
791,US,90,Pinot Noir,Beacon Hill,Beacon Hill winery US
800,US,90,Cabernet Sauvignon,Chessman,Chessman winery US
801,US,90,Syrah,Deerfield Ranch,Deerfield Ranch winery US
803,US,90,Merlot,Efeste,Efeste winery US
804,US,90,Chardonnay,Efeste,Efeste winery US
805,US,90,Riesling,Firesteed,Firesteed winery US
806,US,90,Chardonnay,Iron Hub,Iron Hub winery US
807,Australia,90,Chardonnay,Kooyong,Kooyong winery Australia
810,US,90,Cabernet Sauvignon,Aiken,Aiken winery US
812,US,90,Syrah,Donkey & Goat,Donkey & Goat winery US
815,US,86,Sauvignon Blanc,Finn Hill,Finn Hill winery US
817,Chile,86,Merlot,La Playa,La Playa winery Chile
824,US,86,Merlot,Stomping Ground,Stomping Ground winery US
827,Chile,86,Merlot,Terrapura,Terrapura winery Chile
830,France,86,Chardonnay,Domaine de Thulon,Domaine de Thulon winery France
834,Chile,86,Cabernet Sauvignon,G7,G7 winery Chile
838,US,86,Syrah,Kontos,Kontos winery US
839,US,86,Riesling,Lamoreaux Landing,Lamoreaux Landing winery US
840,France,86,Rosé,Laurent Gauthier,Laurent Gauthier winery France
841,US,86,Chardonnay,Leaping Horse,Leaping Horse winery US
847,France,90,Pinot Noir,Domaine Bott-Geyl,Domaine Bott-Geyl winery France
848,France,90,Pinot Noir,Domaine Collotte,Domaine Collotte winery France
849,France,90,Pinot Noir,Domaine Faiveley,Domaine Faiveley winery France
850,France,90,Chardonnay,Domaine Jacques Prieur,Domaine Jacques Prieur winery France
851,France,90,Pinot Noir,Domaine René Bouvier,Domaine René Bouvier winery France
853,Germany,90,Riesling,Dr. H. Thanisch (Erben Thanisch),Dr. H. Thanisch (Erben Thanisch) winery Germany
855,US,90,Chardonnay,Edna Valley Vineyard,Edna Valley Vineyard winery US
857,US,90,Syrah,Fess Parker,Fess Parker winery US
859,US,90,Cabernet Sauvignon,Foretell,Foretell winery US
863,US,90,Pinot Noir,West of Temperance,West of Temperance winery US
866,Australia,90,Rosé,Beresford,Beresford winery Australia
867,US,90,Pinot Noir,Carabella,Carabella winery US
870,US,90,Syrah,Greenwood Ridge,Greenwood Ridge winery US
871,US,90,Merlot,Herencia,Herencia winery US
880,US,90,Syrah,Cline,Cline winery US
882,US,90,Cabernet Sauvignon,Fuse,Fuse winery US
889,US,90,Pinot Noir,Pacific Ridge,Pacific Ridge winery US
891,US,90,Pinot Noir,2nd Chance,2nd Chance winery US
896,US,90,Syrah,Leonesse Cellars,Leonesse Cellars winery US
897,US,90,Syrah,Market Vineyards,Market Vineyards winery US
903,Germany,87,Riesling,Bex,Bex winery Germany
912,US,87,Rosé,Fullerton,Fullerton winery US
915,US,87,Pinot Noir,Coelho,Coelho winery US
920,Australia,87,Sauvignon Blanc,Evans & Tate,Evans & Tate winery Australia
922,Argentina,87,Sauvignon Blanc,Finca Sophenia,Finca Sophenia winery Argentina
924,Australia,87,Sauvignon Blanc,Sidewood,Sidewood winery Australia
936,US,87,Chardonnay,Chehalem,Chehalem winery US
942,US,87,Pinot Noir,Ektimo Vineyards,Ektimo Vineyards winery US
945,US,87,Chardonnay,Francis Coppola,Francis Coppola winery US
950,US,87,Chardonnay,Vine Cliff,Vine Cliff winery US
953,US,87,Pinot Noir,Amalie Robert,Amalie Robert winery US
954,US,87,Cabernet Sauvignon,Archgate Cellars,Archgate Cellars winery US
957,US,87,Sauvignon Blanc,Carica,Carica winery US
958,Spain,87,Rosé,Ignacio Marín,Ignacio Marín winery Spain
966,New Zealand,85,Sauvignon Blanc,Kono,Kono winery New Zealand
967,Chile,85,Chardonnay,Santa Ema,Santa Ema winery Chile
968,Italy,85,Rosé,Tommasi,Tommasi winery Italy
970,US,85,Cabernet Sauvignon,One Hope,One Hope winery US
973,US,85,Syrah,Alexander Valley Vineyards,Alexander Valley Vineyards winery US
975,Italy,85,Pinot Noir,Feudo Montoni,Feudo Montoni winery Italy
979,France,85,Sauvignon Blanc,Château Lamothe-Vincent,Château Lamothe-Vincent winery France
981,France,85,Sauvignon Blanc,Yvon Mau,Yvon Mau winery France
982,Italy,85,Cabernet Sauvignon,Bellenda,Bellenda winery Italy
985,Argentina,88,Cabernet Sauvignon,Pascual Toso,Pascual Toso winery Argentina
990,US,88,Sauvignon Blanc,Dancing Bull,Dancing Bull winery US
994,France,88,Sauvignon Blanc,Fournier Père et Fils,Fournier Père et Fils winery France
996,Italy,88,Syrah,Caruso & Minini,Caruso & Minini winery Italy
999,US,88,Riesling,Amity,Amity winery US
1000,US,88,Cabernet Sauvignon,Arcane Cellars,Arcane Cellars winery US
1002,US,88,Pinot Noir,Benton-Lane,Benton-Lane winery US
1005,France,88,Sauvignon Blanc,Domaine Philippe Portier,Domaine Philippe Portier winery France
1006,US,88,Pinot Noir,Expression 44°,Expression 44° winery US
1007,France,88,Sauvignon Blanc,Fournier Père et Fils,Fournier Père et Fils winery France
1009,Chile,88,Cabernet Sauvignon,Tarapaca,Tarapaca winery Chile
1010,US,88,Pinot Noir,The Four Graces,The Four Graces winery US
1025,US,88,Sauvignon Blanc,Dragonette,Dragonette winery US
1030,US,88,Chardonnay,Grgich Hills,Grgich Hills winery US
1033,US,88,Chardonnay,Ventana,Ventana winery US
1037,US,88,Syrah,WildAire,WildAire winery US
1045,US,85,Pinot Noir,Honeywood Winery,Honeywood Winery winery US
